Sample,yearnest,nest,sample,year,treatment,fledged,rain,tolerance,band
1,2012-4,4,DC004,1,1,1,182.2,0,4
2,2012-90,90,DC014,1,1,1,190.5,0,14
3,2012-24,24,DC031,1,0,1,190.5,0,31
4,2012-59,59,DC033,1,0,1,190.5,0,33
5,2012-11,11,DC037,1,1,1,190.5,0,37
6,2012-53,53,DC039,1,0,1,190.5,0,39
7,2012-42,42,DC041,1,1,1,190.5,0,41
8,2012-52,52,DC045,1,0,1,190.5,0,45
9,2012-7,7,DC050,1,1,0,190.5,0,50
10,2012-25,25,DC052,1,1,1,190.5,0,52
11,2012-87,87,DC055,1,1,0,190.5,0,55
12,2012-66,66,DC059,1,0,1,190.5,0,59
13,2012-76,76,DC062,1,1,1,190.5,0,62
14,2012-20,20,DC067,1,0,1,190.5,0,67
15,2012-93,93,DC077,1,0,1,191.7,0,77
16,2012-35,35,DC102,1,1,1,190.5,0,102
17,2012-77,77,DC108,1,0,1,190.5,0,108
18,2012-74,74,DC111,1,0,1,190.5,0,111
19,2013-42,42,DC167,2,1,0,123.8,-0.001,167
20,2013-107,107,DC180,2,0,1,127.6,-0.001,180
21,2013-112,112,DC185,2,1,1,127.6,-0.001,185
22,2013-90,90,DC189,2,0,1,127.6,-0.001,189
23,2013-110,110,DC193,2,1,1,132.6,-0.001,193
24,2013-75,75,DC196,2,1,1,132.6,-0.001,196
25,2013-118,118,DC199,2,1,1,142.5,-0.001,199
26,2013-19,19,DC203,2,1,1,145,-0.001,203
27,2013-74,74,DC209,2,0,1,145,-0.001,209
28,2013-65,65,DC213,2,1,1,145,-0.001,213
29,2013-103,103,DC216,2,0,1,145,-0.001,216
30,2013-91,91,DC220,2,0,1,159.4,-0.001,220
31,2013-108,108,DC226,2,0,1,191,-0.001,226
32,2013-127,127,DC230,2,1,1,191,-0.001,230
33,2013-128,128,DC236,2,0,1,191,-0.001,236
34,2013-105,105,DC248,2,1,1,191,-0.001,248
35,2015-131,131,DC418,3,0,1,67.3,-0.035,131-R
36,2015-59,59,DC438,3,1,1,67.3,-0.035,59-R
37,2015-98,98,DC465,3,0,0,67.3,-0.035,98-L
38,2015-77,77,DC477,3,1,0,67.3,-0.035,77-N
39,2015-95,95,DC487,3,1,1,67.3,-0.035,95-R
40,2015-90,90,DC489,3,1,1,67.3,-0.035,90-R
41,2015-20,20,DC497,3,0,1,67.3,-0.035,20-R
42,2015-129,129,DC503,3,0,0,67.3,-0.035,129-L
43,2015-52,52,DC505,3,1,1,67.3,-0.035,52-L
44,2015-111,111,DC508,3,1,0,67.3,-0.035,111-R
45,2015-35,35,DC510,3,0,0,67.3,-0.035,35-R
46,2015-42,42,DC512,3,0,0,67.3,-0.035,42-L
47,2015-74,74,DC514,3,1,0,67.3,-0.035,74-R
48,2015-53,53,DC518,3,0,0,67.3,-0.035,53-R
49,2015-25,25,DC524,3,1,1,67.3,-0.035,25-L
50,2015-132,132,DC537,3,0,1,69.8,-0.035,132-L
51,2015-88,88,DC539,3,1,1,69.8,-0.035,88-L
52,2015-7,7,DC546,3,0,1,102.8,-0.035,7-L
53,2016-92,92,DC645,4,1,1,72.8,-0.01,92-L
54,2016-86,86,DC650,4,0,0,72.8,-0.01,86-R
55,2016-111,111,DC653,4,0,1,72.8,-0.01,111-R
56,2016-110,110,DC656,4,1,1,72.8,-0.01,110-R
57,2016-76,76,DC661,4,0,0,72.8,-0.01,76-R
58,2016-124,124,DC666,4,1,1,72.8,-0.01,124-B
59,2016-89,89,DC669,4,1,1,72.8,-0.01,89-R
60,2016-128,128,DC671,4,0,0,72.8,-0.01,128-L
61,2016-107,107,DC673,4,1,1,81.9,-0.01,107-R
62,2016-103,103,DC676,4,1,1,81.9,-0.01,103-R
63,2016-40,40,DC680,4,0,0,81.9,-0.01,40-R
64,2016-25,25,DC685,4,1,1,81.9,-0.01,25-N
65,2016-122,122,DC686,4,0,1,81.9,-0.01,122-R
66,2016-122,122,DC687,4,0,0,81.9,-0.01,122-L
67,2016-51,51,DC689,4,1,1,81.9,-0.01,51-R
68,2016-100,100,DC693,4,1,1,81.9,-0.01,100-L
69,2016-75,75,DC694,4,0,0,81.9,-0.01,75-R
70,2016-24,24,DC715,4,0,1,90.6,-0.01,24-R
71,2013-87,87,DCYY,2,0,1,132.6,-0.001,YYYY